src	r_code	n_in	n_out	desc	category	unsafe
+	$2 + $1	2	1	Add	Arithmetic & Comparison	
-	$2 - $1	2	1	Subtract	Arithmetic & Comparison	
*	$2 * $1	2	1	Multiply	Arithmetic & Comparison	
/	$2 / $1	2	1	Divide	Arithmetic & Comparison	
%	$2 %% $1	2	1	Modulo	Arithmetic & Comparison	
^	$2 ^ $1	2	1	Power	Arithmetic & Comparison	
=	$2 == $1	2	1	Equal	Arithmetic & Comparison	
<	$2 < $1	2	1	Less	Arithmetic & Comparison	
>	$2 > $1	2	1	Greater	Arithmetic & Comparison	
<=	$2 <= $1	2	1	LessEqual	Arithmetic & Comparison	
>=	$2 >= $1	2	1	GreatEqual	Arithmetic & Comparison	
~	!$1	1	1	Not	Arithmetic & Comparison	
|	$2 | $1	2	1	Or	Arithmetic & Comparison	
lX	xor($2, $1)	2	1	Xor	Arithmetic & Comparison	
mI	$2 %/% $1	2	1	IntDiv	Arithmetic & Comparison	
D	list($1, $1)	1	2	Duplicate	Stack & Control	
w	list($1, $2)	2	2	Swap	Stack & Control	
x	NULL	1	0	Delete	Stack & Control	
U	for(x in $1) stack[[length(stack)+1]] <- x	1	0	Unpack	Stack & Control	
Ls	length(stack)	0	1	Stack Length	Stack & Control	
i	scan(ratl_stdin, what=character(), n=1, quiet=TRUE)	0	1	Input	Stack & Control	
p	ratl_print($1)	1	0	Print	Stack & Control	
sC	cat($1)	1	0	Cat	Stack & Control	
sM	message($1)	1	0	Message	Stack & Control	
sW	warning($1)	1	0	Warning	Stack & Control	
sS	stop($1)	1	0	Stop	Stack & Control	
Pi	pi	0	1	Pi	Constants	
Na	NA	0	1	NA	Constants	
In	Inf	0	1	Inf	Constants	
sZ	numeric(0)	0	1	EmptyNum	Constants	
sQ	character(0)	0	1	EmptyChar	Constants	
s4	logical(0)	0	1	EmptyLog	Constants	
q	NULL	0	1	Map (evaluator)	Higher-Order Functions	
e	NULL	0	1	Filter (evaluator)	Higher-Order Functions	
y	NULL	0	1	Reduce (evaluator)	Higher-Order Functions	
z	NULL	0	1	Repeat (evaluator)	Higher-Order Functions	
Fq	NULL	0	1	Map (evaluator)	Higher-Order Functions	
Ft	NULL	0	1	Filter (evaluator)	Higher-Order Functions	
Fx	NULL	0	1	Repeat (evaluator)	Higher-Order Functions	
Fr	Reduce($2, $1)	2	1	Reduce	Higher-Order Functions	
Fa	apply($3, $2, $1)	3	1	Apply	Higher-Order Functions	
Fl	lapply($2, $1)	2	1	Lapply	Higher-Order Functions	
Fs	sapply($2, $1)	2	1	Sapply	Higher-Order Functions	
Fv	vapply($3, $2, $1)	3	1	Vapply	Higher-Order Functions	
Fm	mapply($1, ...)	1	1	Mapply	Higher-Order Functions	
Ff	Filter($2, $1)	2	1	Filter (Func)	Higher-Order Functions	
Fn	Find($2, $1)	2	1	Find (Func)	Higher-Order Functions	
Fp	Position($2, $1)	2	1	Position	Higher-Order Functions	
fn	Negate($1)	1	1	Negate	Higher-Order Functions	
:	seq($2, $1)	2	1	Sequence	Array Operations	
O	sort($1)	1	1	Sort	Array Operations	
R	rev($1)	1	1	Reverse	Array Operations	
u	unique($1)	1	1	Unique	Array Operations	
l	length($1)	1	1	Length	Array Operations	
es	$2[$1]	2	1	Extract Subset [	Array Operations	
el	$2[[$1]]	2	1	Extract Element [[	Array Operations	
en	$2[[as.character($1)]]	2	1	Extract Name $	Array Operations	
fu	unlist($1)	1	1	Flatten	Array Operations	
zp	unlist(Map(list, $2, $1))	2	1	Zip	Array Operations	
hd	head($2, $1)	2	1	HeadN	Array Operations	
tl	tail($2, $1)	2	1	TailN	Array Operations	
la	tail($1, 1)	1	1	LastElem	Array Operations	
fE	head($1, 1)	1	1	FirstElem	Array Operations	
SH	head($1)	1	1	Head	Array Operations	
ST	tail($1)	1	1	Tail	Array Operations	
SR	rank($1)	1	1	Rank	Array Operations	
r1	1:$1	1	1	Range1toN	Array Operations	
.	1:$1	1	1	Range 1 to N	Array Operations	
vW	seq($3, $2, length.out=$1)	3	1	SeqLen	Array Operations	
r2	rep($2, $1)	2	1	Rep	Array Operations	
vT	matrix(rep($3, $2*$1), nrow=nrow($3)*$2)	3	1	RepMat	Array Operations	
vI	cummin($1)	1	1	CumMin	Array Operations	
vX	cummax($1)	1	1	CumMax	Array Operations	
vF	diff($1)	1	1	Diff	Array Operations	
vG	pmax($2, $1)	2	1	PMax	Array Operations	
